streetAddress,addressLoc,addressReg,postalCode,latitute,longitude,price,beds,baths,sqft
3903 Pinesbury Dr,Houston,TX,77084,29.82956,-95.68028,$450000,4bd,5ba,3833 sqft
7006 Plum Creek Trail Ln,Houston,TX,77087,29.699066,-95.30036,$180000,2bd,2ba,1644 sqft
1074 Lehman St,Houston,TX,77018,29.838757,-95.42491,$399000,4bd,3ba,2512 sqft
12106 Paddock Way,Houston,TX,77065,29.914711,-95.599075,$215000,3bd,2ba,1715 sqft
16002 Highlander Dr,Houston,TX,77082,29.72209,-95.6675,$155000,3bd,2ba,1493 sqft
18607 Wood Glen Ln,Houston,TX,77084,29.829298,-95.69081,$126900,1bd,2ba,2837 sqft
3433 Westheimer Rd #1001,Houston,TX,77027,29.741919,-95.43148,$2300000,3bd,2ba,1647 sqft
4120 Villanova St,Houston,TX,77005,29.71116,-95.443634,$975000,3bd,2ba,1940 sqft
1954 Sugar Pine Cir,Houston,TX,77090,30.006828,-95.455795,$169900,2bd,2ba,1133 sqft
6200 W Tidwell Rd #1803,Houston,TX,77092,29.851824,-95.48237,$47000,3bd,4ba,2006 sqft
2344 Sperber Ln,Houston,TX,77003,29.75525,-95.34824,$335000,5bd,3ba,3587 sqft
12511 Mooredale Ln,Houston,TX,77024,29.781628,-95.551,$745000,3bd,3ba,1874 sqft
7897 Kendalia Dr,Houston,TX,77036,29.693346,-95.546974,$145000,3bd,3ba,2550 sqft
712 Knox St,Houston,TX,77007,29.768627,-95.42075,$634900,2bd,2ba,1155 sqft
5343 Richmond Ave #7,Houston,TX,77056,29.731102,-95.47011,$139000,2bd,3ba,1615 sqft
103 Litchfield Ln #197,Houston,TX,77024,29.763735,-95.55227,$199000,3bd,4ba,2532 sqft
303 E 42nd St,Houston,TX,77022,29.824408,-95.39523,$89000,3bd,1ba,1452 sqft
6112 Tyne St #B,Houston,TX,77007,29.774895,-95.42431,$499990,3bd,2ba,1761 sqft
9502 Rosehaven Dr,Houston,TX,77051,29.652973,-95.37645,$99000,4bd,3ba,2072 sqft
10603 Jordan Heights Dr,Houston,TX,77016,29.867655,-95.29532,$203953,3bd,3ba,1604 sqft
12630 Pelican Bay Dr,Houston,TX,77038,29.9272,-95.4594,$199900,3bd,4ba,2016 sqft
7320 Tidwell Rd,Houston,TX,77016,29.848246,-95.298035,$425000,3bd,3ba,2755 sqft
830 Threadneedle St #238,Houston,TX,77079,29.780123,-95.61357,$155000,3bd,3ba,2516 sqft
3019 Markle St,Houston,TX,77003,29.7484,-95.3475,$394900,2bd,3ba,2081 sqft
9138 Wayfarer Ln,Houston,TX,77075,29.6182,-95.252235,$345000,3bd,3ba,1906 sqft
13138 S Bellaire Estates Dr,Houston,TX,77072,29.702164,-95.6134,$240000,3bd,1ba,1448 sqft
1635 Sutton St,Houston,TX,77006,29.7502,-95.38351,$352000,4bd,2ba,1512 sqft
8105 Kingsley St,Houston,TX,77017,29.687597,-95.27689,$349000,2bd,2ba,3600 sqft
1600 Post Oak Blvd #Tba,Houston,TX,77056,29.751532,-95.461426,$889000,3bd,1ba,1779 sqft
